# CESNET
# Ericsson Telecom Hungary
# NA, planetlab, onelab01.ericsson.co.hu
# NA, planetlab, onelab02.ericsson.co.hu
# lig
129.88.70.227/32, planetlab, planetlab-2.imag.fr
129.88.70.226/32, planetlab, planetlab-1.imag.fr
# Wisconsin
198.133.224.149/32, planetlab, planetlab4.wail.wisc.edu
198.133.224.147/32, planetlab, planetlab3.wail.wisc.edu
# Eurecom
193.55.112.40/32, planetlab, planetlab1.eurecom.fr
193.55.112.41/32, planetlab, planetlab2.eurecom.fr
# WUT Europe
194.29.150.131/32, planetlab, ple1.ise.pw.edu.pl
194.29.150.138/32, planetlab, napa2.tele.pw.edu.pl
194.29.150.137/32, planetlab, napa1.tele.pw.edu.pl
194.29.150.130/32, planetlab, ple2.mini.pw.edu.pl
194.29.150.140/32, planetlab, napa4.tele.pw.edu.pl
194.29.150.129/32, planetlab, ple1.mini.pw.edu.pl
194.29.150.139/32, planetlab, napa3.tele.pw.edu.pl
# NA, planetlab, ple3.mini.pw.edu.pl
# NA, planetlab, ple4.mini.pw.edu.pl
194.29.150.132/32, planetlab, ple2.ise.pw.edu.pl
194.29.150.134/32, planetlab, napa2.mini.pw.edu.pl
194.29.150.135/32, planetlab, napa3.mini.pw.edu.pl
194.29.150.136/32, planetlab, napa4.mini.pw.edu.pl
194.29.150.133/32, planetlab, napa1.mini.pw.edu.pl
# UFMG
200.19.159.35/32, planetlab, planetlab2.pop-mg.rnp.br
200.19.159.34/32, planetlab, planetlab1.pop-mg.rnp.br
# Brigham Young University
128.187.223.211/32, planetlab, planetlab1.byu.edu
128.187.223.212/32, planetlab, planetlab2.byu.edu
# VTT Tech Res Ctr of Finland
193.166.160.99/32, planetlab, planetlab2.willab.fi
193.166.160.98/32, planetlab, planetlab1.willab.fi
# Tromso
129.242.19.196/32, planetlab, planetlab1.cs.uit.no
129.242.19.197/32, planetlab, planetlab2.cs.uit.no
# University of Houston
208.117.131.115/32, planetlab, planetlab-1.cs.uh.edu
208.117.131.116/32, planetlab, planetlab-2.cs.uh.edu
# Simon Fraser University
206.12.16.154/32, planetlab, cs-planetlab3.cs.surrey.sfu.ca
206.12.16.155/32, planetlab, cs-planetlab4.cs.surrey.sfu.ca
# AUEB
195.251.248.181/32, planetlab, planetlab2.cs.aueb.gr
195.251.248.180/32, planetlab, planetlab1.cs.aueb.gr
# ELTE
157.181.175.248/32, planetlab, planet2.elte.hu
157.181.175.249/32, planetlab, planet1.elte.hu
# University of Saskatchewan
128.233.252.12/32, planetlab, planetlab-2.usask.ca
128.233.252.11/32, planetlab, planetlab-1.usask.ca
# NCCU
140.119.164.85/32, planetlab, ent2.cs.nccu.edu.tw
140.119.164.84/32, planetlab, ent1.cs.nccu.edu.tw
# British Telecom
155.245.47.242/32, planetlab, plebt2.essex.ac.uk
155.245.47.241/32, planetlab, plebt1.essex.ac.uk
# Queen Mary, University of London
194.36.10.156/32, planetlab, planetlab2.nrl.dcs.qmul.ac.uk
194.36.10.154/32, planetlab, planetlab1.nrl.dcs.qmul.ac.uk
# CUHK
137.189.98.31/32, planetlab, planetlab4.ie.cuhk.edu.hk
137.189.97.18/32, planetlab, planetlab2.ie.cuhk.edu.hk
137.189.98.30/32, planetlab, planetlab3.ie.cuhk.edu.hk
137.189.97.17/32, planetlab, planetlab1.ie.cuhk.edu.hk
137.189.98.32/32, planetlab, planetlab5.ie.cuhk.edu.hk
# Duisburg-Essen
132.252.152.193/32, planetlab, planetlab1.exp-math.uni-essen.de
132.252.152.194/32, planetlab, planetlab2.exp-math.uni-essen.de
# University of Otago
139.80.206.132/32, planetlab, planetlab1.cs.otago.ac.nz
139.80.206.133/32, planetlab, planetlab2.cs.otago.ac.nz
# Intel IT - Folsom
198.175.112.104/32, planetlab, planetdev01.fm.intel.com
198.175.112.108/32, planetlab, planetdev05.fm.intel.com
198.175.112.105/32, planetlab, planetdev02.fm.intel.com
198.175.112.107/32, planetlab, planetdev04.fm.intel.com
# Silesian UT
83.230.127.124/32, planetlab, plab4.ple.silweb.pl
83.230.127.123/32, planetlab, plab3.ple.silweb.pl
83.230.127.122/32, planetlab, plab2.ple.silweb.pl
83.230.127.121/32, planetlab, plab1.ple.silweb.pl
# University of Ottawa
216.48.80.14/32, planetlab, pl2.rcc.uottawa.ca
216.48.80.12/32, planetlab, pl1.rcc.uottawa.ca
# i-ait
203.159.255.1/32, planetlab, ple1.ait.ac.th
203.159.255.2/32, planetlab, ple2.ait.ac.th
# Passau
195.37.16.101/32, planetlab, dschinni.planetlab.extranet.uni-passau.de
195.37.16.97/32, planetlab, aladdin.planetlab.extranet.uni-passau.de
# Osaka City University
160.193.163.102/32, planetlab, planetlab2.n.info.eng.osaka-cu.ac.jp
160.193.163.101/32, planetlab, planetlab1.n.info.eng.osaka-cu.ac.jp
160.193.163.105/32, planetlab, planetlab3.n.info.eng.osaka-cu.ac.jp
160.193.163.106/32, planetlab, planetlab4.n.info.eng.osaka-cu.ac.jp
# Polish-Japanese IIT
148.81.140.193/32, planetlab, planetlab1.pjwstk.edu.pl
148.81.140.194/32, planetlab, planetlab2.pjwstk.edu.pl
# Toyohashi Univ of Tech
133.15.59.2/32, planetlab, pl2.planetlab.ics.tut.ac.jp
133.15.59.1/32, planetlab, pl1.planetlab.ics.tut.ac.jp
# UOC
213.73.40.105/32, planetlab, dplanet1.uoc.edu
213.73.40.106/32, planetlab, dplanet2.uoc.edu
# Fraunhofer HHI
193.174.67.187/32, planetlab, planet02.hhi.fraunhofer.de
193.174.67.186/32, planetlab, planet01.hhi.fraunhofer.de
# Virginia Tech
198.82.160.238/32, planetlab, planetlab-01.vt.nodes.planet-lab.org
198.82.160.239/32, planetlab, planetlab-02.vt.nodes.planet-lab.org
198.82.160.221/32, planetlab, planetlab-04.vt.nodes.planet-lab.org
198.82.160.220/32, planetlab, planetlab-03.vt.nodes.planet-lab.org
# Georgetown
141.161.20.32/32, planetlab, planetlab1.georgetown.edu
141.161.20.33/32, planetlab, planetlab2.georgetown.edu
# QNV
131.114.53.187/32, planetlab, pierre.iet.unipi.it
131.114.53.188/32, planetlab, marie.iet.unipi.it
# UOregon
128.223.8.114/32, planetlab, planetlab4.cs.uoregon.edu
128.223.8.112/32, planetlab, planetlab2.cs.uoregon.edu
128.223.8.113/32, planetlab, planetlab3.cs.uoregon.edu
128.223.8.111/32, planetlab, planetlab1.cs.uoregon.edu
# NAIST
163.221.11.71/32, planetlab, planetlab-01.naist.jp
163.221.11.73/32, planetlab, planetlab-03.naist.jp
163.221.11.72/32, planetlab, planetlab-02.naist.jp
163.221.11.74/32, planetlab, planetlab-04.naist.jp
# TMSP
157.159.226.74/32, planetlab, planetlab-node3.it-sudparis.eu
157.159.228.3/32, planetlab, planetlab-node4.it-sudparis.eu
157.159.226.72/32, planetlab, planetlab-node1.it-sudparis.eu
# National Taiwan University EE
140.112.42.158/32, planetlab, adam.ee.ntu.edu.tw
140.112.42.159/32, planetlab, eve.ee.ntu.edu.tw
# RWTH Aachen
137.226.138.156/32, planetlab, peace.informatik.rwth-aachen.de
137.226.138.154/32, planetlab, freedom.informatik.rwth-aachen.de
# Jacobs University Bremen
212.201.44.82/32, planetlab, planetlab2.eecs.jacobs-university.de
212.201.44.81/32, planetlab, planetlab1.eecs.jacobs-university.de
# Instituto Tecnologico Buenos Aires
190.227.163.142/32, planetlab, planet-lab1.itba.edu.ar
190.227.163.141/32, planetlab, planet-lab2.itba.edu.ar
# sapienza
# Toronto
142.150.238.12/32, planetlab, pl1.csl.utoronto.ca
142.150.238.13/32, planetlab, pl2.csl.utoronto.ca
# Worcester Polytechnic Institute
75.130.96.12/32, planetlab, 75-130-96-12.static.oxfr.ma.charter.com
75.130.96.13/32, planetlab, 75-130-96-13.static.oxfr.ma.charter.com
# IBBT
193.191.148.228/32, planetlab, planck228PLE.test.ibbt.be
193.191.148.227/32, planetlab, planck227PLE.test.ibbt.be
# University of Missouri Kansas City
204.56.0.138/32, planetlab, kc-sce-plab2.umkc.edu
204.56.0.137/32, planetlab, kc-sce-plab1.umkc.edu
# Keio University
203.178.143.10/32, planetlab, planetlab1.sfc.wide.ad.jp
203.178.143.28/32, planetlab, planetlab2.sfc.wide.ad.jp
# Universita
151.100.59.11/32, planetlab, planetlab-2.dis.uniroma1.it
151.100.59.10/32, planetlab, planetlab-1.dis.uniroma1.it
# kaist
143.248.139.55/32, planetlab, csplanetlab2.kaist.ac.kr
143.248.139.56/32, planetlab, csplanetlab3.kaist.ac.kr
143.248.139.171/32, planetlab, csplanetlab4.kaist.ac.kr
# Huawei Technologies
58.60.106.70/32, planetlab, pn2-planetlab.huawei.com
58.60.106.66/32, planetlab, pn1-planetlab.huawei.com
# Jerusalem
132.65.240.102/32, planetlab, planet3.cs.huji.ac.il
132.65.240.100/32, planetlab, planet1.cs.huji.ac.il
# University of Auckland
130.216.1.23/32, planetlab, planetlab-2.cs.auckland.ac.nz
130.216.1.22/32, planetlab, planetlab-1.cs.auckland.ac.nz
# Kent State University
131.123.34.36/32, planetlab, pl2.planet.cs.kent.edu
131.123.34.37/32, planetlab, pl3.planet.cs.kent.edu
131.123.34.35/32, planetlab, pl1.planet.cs.kent.edu
# Technical University Ilmenau
141.24.33.162/32, planetlab, planet2.prakinf.tu-ilmenau.de
141.24.33.161/32, planetlab, planet1.prakinf.tu-ilmenau.de
141.24.33.192/32, planetlab, planet3.prakinf.tu-ilmenau.de
# UPenn
158.130.6.253/32, planetlab, planetlab2.cis.upenn.edu
158.130.6.254/32, planetlab, planetlab1.cis.upenn.edu
# Waseda University
133.9.81.166/32, planetlab, planetlab6.goto.info.waseda.ac.jp
133.9.81.164/32, planetlab, planetlab4.goto.info.waseda.ac.jp
133.9.81.165/32, planetlab, planetlab5.goto.info.waseda.ac.jp
# MLab - ORD01
# Taiwan
140.109.17.180/32, planetlab, planetlab1.iis.sinica.edu.tw
140.109.17.181/32, planetlab, planetlab2.iis.sinica.edu.tw
# McGill
192.197.121.2/32, planetlab, node-1.mcgillplanetlab.org
192.197.121.3/32, planetlab, node-2.mcgillplanetlab.org
# UCalgary
136.159.220.42/32, planetlab, planetlab-2.elisa.cpsc.ucalgary.ca
136.159.220.40/32, planetlab, planetlab-1.elisa.cpsc.ucalgary.ca
# University of Texas at El Paso
129.108.202.10/32, planetlab, planetlab1.utep.edu
129.108.202.11/32, planetlab, planetlab2.utep.edu
# LARC - University of Sao Paulo
143.107.111.235/32, planetlab, plab2.larc.usp.br
143.107.111.234/32, planetlab, plab1.larc.usp.br
# IST
193.136.166.54/32, planetlab, planetlab-1.tagus.ist.utl.pt
193.136.166.56/32, planetlab, planetlab-2.tagus.ist.utl.pt
# University of Colorado
128.138.207.54/32, planetlab, planetlab2.cs.colorado.edu
128.138.207.45/32, planetlab, planetlab1.cs.colorado.edu
# University of Oklahoma
129.15.78.30/32, planetlab, roam1.cs.ou.edu
129.15.78.31/32, planetlab, roam2.cs.ou.edu
# ALU-I
94.93.82.149/32, planetlab, host149-82-static.93-94-b.business.telecomitalia.it
94.93.82.147/32, planetlab, host147-82-static.93-94-b.business.telecomitalia.it
# Polytechnic
128.238.88.65/32, planetlab, planetlab2.poly.edu
128.238.88.64/32, planetlab, planetlab1.poly.edu
# Technische Universitaet Dresden
141.76.45.17/32, planetlab, planet1.inf.tu-dresden.de
141.76.45.18/32, planetlab, planet2.inf.tu-dresden.de
# Zuse Institute Berlin
130.73.142.88/32, planetlab, planet2.zib.de
130.73.142.87/32, planetlab, planet1.zib.de
# RNP - RS
200.132.1.4/32, planetlab, planetlab1.pop-rs.rnp.br
200.132.1.6/32, planetlab, planetlab2.pop-rs.rnp.br
# Wuerzburg
# Princeton
128.112.139.80/32, planetlab, alice.cs.princeton.edu
128.112.139.56/32, planetlab, hptest-1.cs.princeton.edu
128.112.139.18/32, planetlab, planetlab-01.cs.princeton.edu
128.112.139.25/32, planetlab, planetlab-02.cs.princeton.edu
128.112.139.108/32, planetlab, planetlab-9.cs.princeton.edu
128.112.139.28/32, planetlab, planetlab-05.cs.princeton.edu
128.112.139.26/32, planetlab, planetlab-03.cs.princeton.edu
128.112.139.29/32, planetlab, planetlab-06.cs.princeton.edu
128.112.139.3/32, planetlab, echo.cs.princeton.edu
128.112.139.27/32, planetlab, planetlab-04.cs.princeton.edu
128.112.139.2/32, planetlab, delta.cs.princeton.edu
# BTH
194.47.148.172/32, planetlab, scratchy.itslabb.bth.se
194.47.148.170/32, planetlab, itchy.itslabb.bth.se
# Singapore AREN
203.30.39.241/32, planetlab, planetlab2.singaren.net.sg
203.30.39.243/32, planetlab, planetlab4.singaren.net.sg
203.30.39.240/32, planetlab, planetlab1.singaren.net.sg
203.30.39.242/32, planetlab, planetlab3.singaren.net.sg
# CLARA
# National Chung Cheng University
140.123.230.249/32, planetlab, planetlab-2.webedu.ccu.edu.tw
140.123.230.248/32, planetlab, planetlab-1.webedu.ccu.edu.tw
# CSLAB-ICCS at NTUA
147.102.3.102/32, planetlab, planetlab2.cslab.ece.ntua.gr
147.102.3.101/32, planetlab, planetlab1.cslab.ece.ntua.gr
147.102.3.113/32, planetlab, planetlab3.cslab.ece.ntua.gr
147.102.3.117/32, planetlab, planetlab4.cslab.ece.ntua.gr
# University of Bern, IAM
130.92.70.252/32, planetlab, planetlab02.cnds.unibe.ch
130.92.70.254/32, planetlab, planetlab04.cnds.unibe.ch
130.92.70.253/32, planetlab, planetlab03.cnds.unibe.ch
# Waterford Institute of Technology
193.1.201.27/32, planetlab, planetlabeu-2.tssg.org
193.1.201.26/32, planetlab, planetlabeu-1.tssg.org
# MLab - LGA01
# NTHU
140.114.79.231/32, planetlab, pads21.cs.nthu.edu.tw
140.114.79.233/32, planetlab, pads23.cs.nthu.edu.tw
# University of Catania
151.97.9.224/32, planetlab, gschembra3.diit.unict.it
151.97.9.225/32, planetlab, gschembra4.diit.unict.it
# IRB
12.46.129.15/32, planetlab, planet5.berkeley.intel-research.net
12.46.129.16/32, planetlab, planet6.berkeley.intel-research.net
12.46.129.14/32, planetlab, planet4.berkeley.intel-research.net
# St Andrews
138.251.214.77/32, planetlab, planetlab3.cs.st-andrews.ac.uk
138.251.214.78/32, planetlab, planetlab4.cs.st-andrews.ac.uk
# Washington State University
134.121.64.4/32, planetlab, planetlab1.eecs.wsu.edu
134.121.64.7/32, planetlab, planetlab2.eecs.wsu.edu
# UFPR/C3SL
200.17.202.195/32, planetlab, planetlab2.c3sl.ufpr.br
200.17.202.194/32, planetlab, planetlab1.c3sl.ufpr.br
# Warsaw
194.29.178.14/32, planetlab, planetlab4.mini.pw.edu.pl
194.29.178.13/32, planetlab, planetlab3.mini.pw.edu.pl
# ChapelHill
204.85.191.10/32, planetlab, planetlab1.cs.unc.edu
204.85.191.11/32, planetlab, planetlab2.cs.unc.edu
# Fraunhofer FOKUS
193.174.155.26/32, planetlab, planetlab-1.fokus.fraunhofer.de
193.174.155.35/32, planetlab, onelab-1.fhi-fokus.de
193.174.155.36/32, planetlab, onelab-2.fhi-fokus.de
193.174.155.27/32, planetlab, planetlab-2.fokus.fraunhofer.de
# University of Illinois at Chicago
131.193.34.21/32, planetlab, planetlab-1.cs.uic.edu
131.193.34.38/32, planetlab, planetlab-2.cs.uic.edu
# INRIA
138.96.250.142/32, planetlab, onelab02.inria.fr
138.96.116.2/32, planetlab, wlab02.pl.sophia.inria.fr
138.96.250.151/32, planetlab, onelab11.inria.fr
138.96.250.149/32, planetlab, onelab09.inria.fr
138.96.250.150/32, planetlab, onelab10.inria.fr
# DePaul
140.192.249.203/32, planetlab, planetlab1.mnlab.cti.depaul.edu
140.192.249.204/32, planetlab, planetlab2.mnlab.cti.depaul.edu
# Universidad de Buenos Aires
157.92.44.102/32, planetlab, planet-lab2.uba.ar
157.92.44.101/32, planetlab, planet-lab1.uba.ar
# RNP - RJ
200.159.255.70/32, planetlab, planetlab1.pop-rj.rnp.br
200.159.255.80/32, planetlab, planetlab2.pop-rj.rnp.br
# NICT JGN2 Okayama
202.244.160.252/32, planetlab, planetlab-02.kusa.ac.jp
202.244.160.251/32, planetlab, planetlab-01.kusa.ac.jp
# University of Ljubljana
212.235.189.114/32, planetlab, planetlab1.fri.uni-lj.si
212.235.189.115/32, planetlab, planetlab2.fri.uni-lj.si
# Collegium Budapest
193.6.20.4/32, planetlab, planet1.colbud.hu
193.6.20.5/32, planetlab, planet2.colbud.hu
# UNC Charlotte
152.15.98.227/32, planetlab, planetlab02.uncc.edu
10.2.12.4/32, planetlab, planetlab04.uncc.edu
10.2.12.5/32, planetlab, planetlab03.uncc.edu
152.15.98.226/32, planetlab, planetlab01.uncc.edu
# CERTH
83.212.32.133/32, planetlab, medea.inf.uth.gr
83.212.32.131/32, planetlab, Iason.inf.uth.gr
# Colgate University
149.43.80.20/32, planetlab, ebb.colgate.edu
149.43.80.22/32, planetlab, flow.colgate.edu
# PLA Univ of Sci and Tech
58.193.152.68/32, planetlab, plnodeb.plaust.edu.cn
58.193.152.66/32, planetlab, plnodea.plaust.edu.cn
# ICS-Forth
139.91.90.238/32, planetlab, planetlab1.ics.forth.gr
139.91.90.239/32, planetlab, planetlab2.ics.forth.gr
# nus
137.132.80.110/32, planetlab, planetlab3.comp.nus.edu.sg
137.132.80.106/32, planetlab, planetlab1.comp.nus.edu.sg
137.132.80.105/32, planetlab, planetlab2.comp.nus.edu.sg
# unimore
155.185.55.186/32, planetlab, planetlab-2.ing.unimo.it
155.185.55.185/32, planetlab, planetlab-1.ing.unimo.it
# SNU
147.46.240.166/32, planetlab, arari.snu.ac.kr
147.46.240.165/32, planetlab, recall.snu.ac.kr
# MIT
128.31.1.11/32, planetlab, planetlab1.csail.mit.edu
128.31.1.12/32, planetlab, planetlab2.csail.mit.edu
128.31.1.15/32, planetlab, planetlab5.csail.mit.edu
128.31.1.16/32, planetlab, planetlab6.csail.mit.edu
128.31.1.13/32, planetlab, planetlab3.csail.mit.edu
128.31.1.14/32, planetlab, planetlab4.csail.mit.edu
128.31.1.17/32, planetlab, planetlab7.csail.mit.edu
# Telekomunikacja Polska
195.116.53.11/32, planetlab, planetlab1.warsaw.rd.tp.pl
195.116.53.12/32, planetlab, planetlab2.warsaw.rd.tp.pl
195.116.53.14/32, planetlab, planetlab4.warsaw.rd.tp.pl
# Ben-Gurion
132.72.23.11/32, planetlab, planetlab2.bgu.ac.il
132.72.23.10/32, planetlab, planetlab1.bgu.ac.il
# UDel
128.4.36.11/32, planetlab, planetlab1.pc.cis.udel.edu
128.4.36.12/32, planetlab, planetlab2.pc.cis.udel.edu
# UChicago
128.135.11.151/32, planetlab, planetlab2.cs.uchicago.edu
128.135.11.152/32, planetlab, planetlab3.cs.uchicago.edu
128.135.11.149/32, planetlab, planetlab1.cs.uchicago.edu
128.135.11.172/32, planetlab, planetlab4.cs.uchicago.edu
# San Jose State University
64.161.10.2/32, planetlab, plab1.engr.sjsu.edu
64.161.10.3/32, planetlab, plab2.engr.sjsu.edu
# BBN Technologies
192.1.249.138/32, planetlab, plnode-04.gpolab.bbn.com
192.1.249.137/32, planetlab, plnode-03.gpolab.bbn.com
# National University of Kaohsiung
140.127.208.239/32, planetlab, planetlab2.csie.nuk.edu.tw
140.127.208.238/32, planetlab, planetlab1.csie.nuk.edu.tw
# Hellenic Telecommunications and Post Commission
83.212.8.198/32, planetlab, mlab3.gr-ix.gr
83.212.8.194/32, planetlab, mlab1.gr-ix.gr
83.212.8.196/32, planetlab, mlab2.gr-ix.gr
# Vrije
130.37.193.141/32, planetlab, planetlab1.cs.vu.nl
130.37.193.143/32, planetlab, planetlab2.cs.vu.nl
# ULZ
139.18.38.191/32, planetlab, planetlab2.informatik.uni-leipzig.de
139.18.38.190/32, planetlab, planetlab1.informatik.uni-leipzig.de
# CWRU
129.22.150.29/32, planetlab, planetlab-4.EECS.CWRU.Edu
129.22.150.78/32, planetlab, planetlab-5.EECS.CWRU.Edu
# RIT
129.21.30.116/32, planetlab, planet1.cs.rit.edu
129.21.30.117/32, planetlab, planet2.cs.rit.edu
# PL Colo - CLARA Sao Paulo
200.0.206.137/32, planetlab, planetlab2-saopaulo.lan.redclara.net
200.0.206.136/32, planetlab, planetlab1-saopaulo.lan.redclara.net
# Hong Kong ASTRI
192.168.0.235/32, planetlab, planetlab1.homelinux.org
# Ohio State University
164.107.127.13/32, planetlab, planetlab-2.cse.ohio-state.edu
164.107.127.12/32, planetlab, planetlab-1.cse.ohio-state.edu
# Neuchatel
192.42.43.23/32, planetlab, planetlab2.unineuchatel.ch
192.42.43.22/32, planetlab, planetlab1.unineuchatel.ch
# CeCalCULA
150.189.2.102/32, planetlab, deimos.cecalc.ula.ve
150.189.2.101/32, planetlab, fobos.cecalc.ula.ve
# PL Colo - CLARA Buenos Aires
200.0.206.169/32, planetlab, planetlab2-buenosaires.lan.redclara.net
200.0.206.168/32, planetlab, planetlab1-buenosaires.lan.redclara.net
# CREATE-NET
193.206.22.133/32, planetlab, plab1.create-net.org
193.206.22.134/32, planetlab, plab2.create-net.org
# UOA-DI
195.134.71.133/32, planetlab, kostis.di.uoa.gr
195.134.71.129/32, planetlab, zoi.di.uoa.gr
# ULg
139.165.12.211/32, planetlab, planetlab1.montefiore.ulg.ac.be
139.165.12.212/32, planetlab, planetlab2.montefiore.ulg.ac.be
# Supelec
193.54.192.42/32, planetlab, pl2.rennes.supelec.fr
193.54.192.41/32, planetlab, pl1.rennes.supelec.fr
# CarnegieMellon
128.2.211.115/32, planetlab, planetlab-3.cmcl.cs.cmu.edu
128.2.211.113/32, planetlab, planetlab-1.cmcl.cs.cmu.edu
128.2.211.114/32, planetlab, planetlab-2.cmcl.cs.cmu.edu
# Columbia
128.59.20.227/32, planetlab, planetlab2.cs.columbia.edu
128.59.20.226/32, planetlab, planetlab1.cs.columbia.edu
128.59.20.228/32, planetlab, planetlab3.cs.columbia.edu
# SBU
130.245.191.59/32, planetlab, pl1.cewit.stonybrook.edu
130.245.191.60/32, planetlab, pl2.cewit.stonybrook.edu
# tefbcn
213.97.51.229/32, planetlab, plab1.tidprojects.com
80.25.161.120/32, planetlab, plab2.tidprojects.com
# UMass Lowell
129.63.159.101/32, planetlab, planetlab1.cs.uml.edu
129.63.159.102/32, planetlab, planetlab2.cs.uml.edu
# PlanetLabEurope
# Universitat Pompeu Fabra
# Uni of Essex
# MichState
35.9.27.27/32, planetlab, planetlab2.cse.msu.edu
35.9.27.26/32, planetlab, planetlab1.cse.msu.edu
# Thales Communications
213.215.48.41/32, planetlab, thalescom-48-41.cnt.nerim.net
213.215.48.42/32, planetlab, thalescom-48-42.cnt.nerim.net
# ALBLF
159.217.144.112/32, planetlab, pl2-alblf.homeip.net
159.217.144.110/32, planetlab, pl1-alblf.homeip.net
# WIDE Project
203.178.133.10/32, planetlab, planetlab0.dojima.wide.ad.jp
203.178.133.11/32, planetlab, planetlab1.dojima.wide.ad.jp
203.178.133.3/32, planetlab, planetlab1.otemachi.wide.ad.jp
203.178.133.2/32, planetlab, planetlab0.otemachi.wide.ad.jp
# BostonU
204.8.155.226/32, planetlab, planetlab-01.bu.edu
204.8.155.227/32, planetlab, planetlab-02.bu.edu
# Universidade Federal do ABC
200.133.215.141/32, planetlab, planet-lab1.ufabc.edu.br
200.133.215.142/32, planetlab, planet-lab2.ufabc.edu.br
# EA
# MLab - MIA01
# Suffolk University
192.138.213.236/32, planetlab, adrastea.mcs.suffolk.edu
192.138.213.238/32, planetlab, metis.mcs.suffolk.edu
# UTT
194.254.215.11/32, planetlab, planetlab1.utt.fr
194.254.215.12/32, planetlab, planetlab2.utt.fr
# Technion
132.68.237.35/32, planetlab, ds-pl2.technion.ac.il
132.68.237.36/32, planetlab, ds-pl3.technion.ac.il
132.68.237.34/32, planetlab, ds-pl1.technion.ac.il
# Telecom Lille 1 University
194.167.254.19/32, planetlab, node2pl.planet-lab.telecom-lille1.eu
194.167.254.18/32, planetlab, node1pl.planet-lab.telecom-lille1.eu
# UVA
128.143.6.134/32, planetlab, planetlab01.sys.virginia.edu
128.143.6.130/32, planetlab, planetlab02.sys.virginia.edu
# KTH EE
130.237.50.124/32, planetlab, planetlab1.s3.kth.se
130.237.50.125/32, planetlab, planetlab2.s3.kth.se
# CESNET
195.113.161.13/32, planetlab, ple1.cesnet.cz
195.113.161.14/32, planetlab, ple2.cesnet.cz
# CYFRONET
149.156.5.116/32, planetlab, planetlab2.cyfronet.pl
149.156.5.114/32, planetlab, planetlab1.cyfronet.pl
# KTH
192.16.125.12/32, planetlab, planetlab-2.ssvl.kth.se
192.16.125.11/32, planetlab, planetlab-1.ssvl.kth.se
# UOI
195.130.121.205/32, planetlab, planetlab2.cs.uoi.gr
195.130.121.204/32, planetlab, planetlab1.cs.uoi.gr
# BME
152.66.245.162/32, planetlab, planetlab2.tmit.bme.hu
152.66.245.161/32, planetlab, planetlab1.tmit.bme.hu
# INESC Porto
192.136.49.46/32, planetlab, planetlab2.inescporto.pt
192.136.49.45/32, planetlab, planetlab1.inescporto.pt
# Jordan University of Science and Technology
87.236.232.174/32, planetlab, planetlab02.just.edu.jo
87.236.232.153/32, planetlab, planetlab1.just.edu.jo
# Hiroshima City University
165.242.90.129/32, planetlab, pl2.sos.info.hiroshima-cu.ac.jp
165.242.90.128/32, planetlab, pl1.sos.info.hiroshima-cu.ac.jp
# ISI
206.117.37.7/32, planetlab, planetlab3.postel.org
206.117.37.9/32, planetlab, planetlab4.postel.org
206.117.37.4/32, planetlab, planetlab1.postel.org
206.117.37.5/32, planetlab, planetlab2.postel.org
# Monash University
130.194.252.8/32, planetlab, pl1.eng.monash.edu.au
130.194.252.9/32, planetlab, pl2.eng.monash.edu.au
# Indiana
156.56.250.226/32, planetlab, pl1.ucs.indiana.edu
156.56.250.227/32, planetlab, pl2.ucs.indiana.edu
# IT-Aveiro
193.137.173.217/32, planetlab, planet1.servers.ua.pt
193.137.173.218/32, planetlab, planet2.servers.ua.pt
# CDAC Bangalore
203.200.36.228/32, planetlab, planet2.cdacb.ernet.in
203.200.36.227/32, planetlab, planet1.cdacb.ernet.in
# MLab - ATL01
# Collegium Budapest
# Tennessee
160.36.57.172/32, planetlab, pl1.eecs.utk.edu
160.36.57.173/32, planetlab, pl2.eecs.utk.edu
# WashU
128.252.19.19/32, planetlab, vn4.cse.wustl.edu
128.252.19.18/32, planetlab, vn5.cse.wustl.edu
# University of Innsbruck, Austria.
138.232.66.173/32, planetlab, plab1-c703.uibk.ac.at
138.232.66.174/32, planetlab, plab2-c703.uibk.ac.at
# ESPRIT
41.225.7.3/32, planetlab, planetlab1.esprit-tn.com
41.225.7.4/32, planetlab, planetlab2.esprit-tn.com
# PK
62.108.171.74/32, planetlab, ple1.tu.koszalin.pl
62.108.171.76/32, planetlab, ple2.tu.koszalin.pl
# KJIST
210.125.84.17/32, planetlab, planetlab3.netmedia.gist.ac.kr
210.125.84.41/32, planetlab, planetlab1.netmedia.gist.ac.kr
210.125.84.16/32, planetlab, planetlab2.netmedia.gist.ac.kr
# Poznan Supercomputing
# Orbit
128.6.192.158/32, planetlab, orbpl1.rutgers.edu
128.6.192.156/32, planetlab, orbpl2.rutgers.edu
# Helsinki Institute of Physics
# Peking University
162.105.205.25/32, planetlab, pl3.pku.edu.cn
162.105.205.22/32, planetlab, pl2.pku.edu.cn
162.105.205.21/32, planetlab, pl1.pku.edu.cn
# Northwestern
129.105.15.37/32, planetlab, planetlab2.eecs.northwestern.edu
129.105.15.38/32, planetlab, planetlab3.eecs.northwestern.edu
129.105.15.36/32, planetlab, planetlab1.eecs.northwestern.edu
# IRO
# CalTech
131.215.45.71/32, planetlab, planlab1.cs.caltech.edu
131.215.45.72/32, planetlab, planlab2.cs.caltech.edu
# Berlin
130.149.49.136/32, planetlab, planetlab01.tkn.tu-berlin.de
